***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,26.26,,,,,,System Temp (C):,25.78,,,,,,,
Humidity (%):,34.29,,,,,,Humidity (%):,34.72,,,,,,,
Lamp Intensity:,3015,,,,,,Lamp Intensity:,3010,,,,,,,
Data Date-Time:,2022/10/10T03:05:23,,,,,,Data Date-Time:,2022/10/10T03:04:56,,,,,,,
Total Measurement Time in sec:,3.1722447,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,9min 8sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.0408655781813746,25032,22784
904.844796792001,0.050095235744313,31539,28103
910.021073788255,0.0404648709663306,37734,34377
913.898249598708,0.0472565896393783,42531,38146
917.771112320529,0.0449212720522238,47850,43148
921.639661953718,0.0477727817960007,54912,49192
925.503898498276,0.0454228327997416,63420,57122
929.363821954203,0.0505358893338555,73811,65703
933.219432321497,0.0488990835486113,84339,75358
937.070729600159,0.0482938212352563,94108,84204
942.199083389394,0.0479365043390311,106742,95587
946.040316794582,0.048889977700478,114870,102640
949.877237111139,0.0483336033318863,122775,109844
953.709844339064,0.0510728348886653,130106,115671
957.538138478358,0.0511363266931689,137426,122161
961.362119529019,0.0524766247656641,144249,127831
965.181787491049,0.053735229654731,151347,133733
968.997142364448,0.0535784648651322,158854,140417
974.077572946662,0.0555945030305818,169604,149225
977.882863946587,0.0529813903074602,176601,156319
981.683841857879,0.055036821099952,184607,162634
985.48050668054,0.0560865952404279,192377,169070
989.272858414569,0.0561656702302451,199674,175451
993.060897059966,0.0553362665199107,206891,182140
996.844622616732,0.0556337968681864,213081,187461
1000.62403508487,0.0554251639103654,219308,193032
1005.65654246006,0.0535683292017104,226918,200586
1009.42589105472,0.0549791701499188,232346,204718
1013.19092656075,0.0560382387992928,236843,208172
1016.95164897815,0.0564078549483437,241251,211866
1020.70805830691,0.0537092690965552,244875,216389
1024.46015454704,0.0558127768511345,249174,219124
1028.20793769854,0.0541643485428358,251411,221932
1031.95140776141,0.053802799957198,253435,223905
1036.93599192959,0.0535790496110767,255420,225775
1040.66939811898,0.0535723744583748,256820,227016
1044.39849121975,0.0538708757945582,258286,228155
1048.12327123188,0.0532086518187097,259198,229310
1051.84373815538,0.0524168839202269,260099,230527
1055.55989199025,0.0529335187775203,261118,231155
1059.27173273648,0.05203630728255,261508,231979
1064.21414448248,0.0518854849149221,261744,232269
1067.91592135525,0.0511989875610576,261721,232616
1071.61338513938,0.0515292811807009,262500,233131
1075.30653583488,0.0506511996546772,262553,233650
1078.99537344174,0.049861908740746,263678,235078
1082.67989795998,0.0501637287940639,264601,235737
1086.36010938958,0.0507342693487736,265431,236166
1090.03600773056,0.0495650198327594,266142,237437
1094.93049626954,0.0481617299206522,268023,239889
1098.59633073703,0.0479409164782375,269707,241519
1102.2578521159,0.0484653693559958,271909,243197
