***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,34.01,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,9.56,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3090,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/18T00:35:02,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2270047,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,11min 40sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.441830104249337,65443,23661
904.844796792001,0.449142413554344,82171,29213
910.021073788255,0.458032107611266,99678,34719
913.898249598708,0.457758561687456,110587,38543
917.771112320529,0.448726909586426,123185,43836
921.639661953718,0.453289494393226,139111,48986
925.503898498276,0.453877295557095,159569,56114
929.363821954203,0.451722572687434,183258,64765
933.219432321497,0.445864433609866,207371,74282
937.070729600159,0.440551954712643,229890,83362
942.199083389394,0.431640953169506,255937,94731
946.040316794582,0.423371040848242,272586,102833
949.877237111139,0.418307972568899,287311,109659
953.709844339064,0.41399129910395,300732,115928
957.538138478358,0.409105161109073,313797,122333
961.362119529019,0.405520222830099,326713,128424
965.181787491049,0.404917835549001,339646,133693
968.997142364448,0.402991287046277,353609,139808
974.077572946662,0.400443530630538,373087,148377
977.882863946587,0.397722372023822,388028,155289
981.683841857879,0.39727202893534,402790,161364
985.48050668054,0.395478551184338,417062,167773
989.272858414569,0.394840874208613,431192,173712
993.060897059966,0.395149443267755,444758,179050
996.844622616732,0.393223576606404,456216,184479
1000.62403508487,0.391462499313368,468463,190201
1005.65654246006,0.390968073146582,482450,196103
1009.42589105472,0.389393693104801,491458,200490
1013.19092656075,0.387497300461595,499843,204803
1016.95164897815,0.385931549057532,506896,208443
1020.70805830691,0.384433293310302,512583,211510
1024.46015454704,0.381081188891136,516710,214865
1028.20793769854,0.379129176595693,519030,216802
1031.95140776141,0.376111509635768,518900,218259
1036.93599192959,0.371967782322832,518793,220306
1040.66939811898,0.36945717588288,518378,221406
1044.39849121975,0.366481733660733,517629,222606
1048.12327123188,0.363345159632644,517016,223954
1051.84373815538,0.360922352129918,515671,224621
1055.55989199025,0.357849176749782,513781,225387
1059.27173273648,0.355246341568987,511708,225827
1064.21414448248,0.351571466163809,508349,226251
1067.91592135525,0.349634967846804,506188,226296
1071.61338513938,0.347029372305531,504263,226792
1075.30653583488,0.34447447983067,502196,227195
1078.99537344174,0.342850776626557,500791,227408
1082.67989795998,0.339863967750089,499607,228436
1086.36010938958,0.337580267478972,499034,229377
1090.03600773056,0.335070973984446,498043,230248
1094.93049626954,0.33211660563996,499075,232300
1098.59633073703,0.330551327152081,500696,233896
1102.2578521159,0.329448712796029,501788,235002
1105.91506040614,0.327911964380276,503305,236548
1109.56795560774,0.32708270454593,505112,237851
1113.21653772071,0.325023913268281,507576,240147
