***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,26.46,,,,,,System Temp (C):,25.78,,,,,,,
Humidity (%):,34.13,,,,,,Humidity (%):,34.72,,,,,,,
Lamp Intensity:,3019,,,,,,Lamp Intensity:,3010,,,,,,,
Data Date-Time:,2022/10/10T03:05:35,,,,,,Data Date-Time:,2022/10/10T03:04:56,,,,,,,
Total Measurement Time in sec:,3.1718007,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,9min 10sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.0215720257201075,25032,23819
904.844796792001,0.0204979033057653,31539,30085
910.021073788255,0.0206113380886795,37734,35985
913.898249598708,0.0218729692306735,42531,40442
917.771112320529,0.016869273234643,47850,46027
921.639661953718,0.0269923112601747,54912,51603
925.503898498276,0.0200547140541847,63420,60558
929.363821954203,0.0213573161142309,73811,70269
933.219432321497,0.0228353276335663,84339,80019
937.070729600159,0.0211004722555579,94108,89645
942.199083389394,0.0175945226799582,106742,102504
946.040316794582,0.0197783500514529,114870,109756
949.877237111139,0.0190018555313943,122775,117519
953.709844339064,0.0182463269282372,130106,124753
957.538138478358,0.0183908077879092,137426,131728
961.362119529019,0.0178355354752809,144249,138445
965.181787491049,0.0165381116345076,151347,145692
968.997142364448,0.0171448976526745,158854,152705
974.077572946662,0.0172458218151843,169604,163001
977.882863946587,0.0149530393715114,176601,170624
981.683841857879,0.0133902813440356,184607,179002
985.48050668054,0.015039658062152,192377,185829
989.272858414569,0.0124324903138802,199674,194039
993.060897059966,0.0134279902405218,206891,200592
996.844622616732,0.0129101971836948,213081,206840
1000.62403508487,0.0113902009114672,219308,213631
1005.65654246006,0.0111348747831886,226918,221174
1009.42589105472,0.0112434318540489,232346,226408
1013.19092656075,0.0113113154563734,236843,230754
1016.95164897815,0.0103104265949769,241251,235591
1020.70805830691,0.00938151354207151,244875,239642
1024.46015454704,0.0104784421314376,249174,243234
1028.20793769854,0.00847574565143785,251411,246552
1031.95140776141,0.00813318385423393,253435,248733
1036.93599192959,0.00754311509606,255420,251022
1040.66939811898,0.00757562642023116,256820,252379
1044.39849121975,0.00781121357830247,258286,253682
1048.12327123188,0.00700291273063195,259198,255052
1051.84373815538,0.00681559843591298,260099,256049
1055.55989199025,0.00648480368111733,261118,257248
1059.27173273648,0.00639921126642342,261508,257683
1064.21414448248,0.00644054887072648,261744,257891
1067.91592135525,0.00538138370415374,261721,258498
1071.61338513938,0.00566692328177228,262500,259097
1075.30653583488,0.00415344678661398,262553,260054
1078.99537344174,0.00526950259386269,263678,260498
1082.67989795998,0.00464008700888818,264601,261789
1086.36010938958,0.00392159218105234,265431,263045
1090.03600773056,0.00334501497882585,266142,264100
1094.93049626954,0.00352396422064291,268023,265857
1098.59633073703,0.00286439057928894,269707,267934
1102.2578521159,0.00420980735542865,271909,269286
1105.91506040614,0.00287742161201693,273184,271380
1109.56795560774,0.00329536355575266,274899,272821
1113.21653772071,0.00245264773490228,276835,275276
1116.86080674505,0.00301982455031768,278961,277028
1120.50076268076,0.00247726523996506,280421,278826
1125.34732801272,0.00166160996384975,282034,280957
1128.97722007495,0.0015669551289555,283767,282745
1132.60279904855,0.00187919117644621,284414,283186
1136.22406493352,0.00228280237867598,283831,282343
