***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,34.2,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,9.85,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3089,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/18T00:20:30,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2271274,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,10min 45sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.549678558144118,65443,18458
904.844796792001,0.559842149742035,82171,22640
910.021073788255,0.575796155806577,99678,26473
913.898249598708,0.577578206278346,110587,29250
917.771112320529,0.58181269837642,123185,32266
921.639661953718,0.581544808235413,139111,36460
925.503898498276,0.575306199352488,159569,42427
929.363821954203,0.578720361308885,183258,48344
933.219432321497,0.56884703436159,207371,55963
937.070729600159,0.564661398100418,229890,62641
942.199083389394,0.556679032020823,255937,71032
946.040316794582,0.552234004934568,272586,76431
949.877237111139,0.547295903355436,287311,81481
953.709844339064,0.542868911728091,300732,86161
957.538138478358,0.539046288494759,313797,90699
961.362119529019,0.535014276228921,326713,95313
965.181787491049,0.536115737681523,339646,98835
968.997142364448,0.534986717874722,353609,103166
974.077572946662,0.533178034528062,373087,109303
977.882863946587,0.535193154406853,388028,113154
981.683841857879,0.535565980151543,402790,117358
985.48050668054,0.535131350774839,417062,121638
989.272858414569,0.535898948735309,431192,125537
993.060897059966,0.538164073733479,444758,128813
996.844622616732,0.535505037530854,456216,132943
1000.62403508487,0.537641228206699,468463,135842
1005.65654246006,0.539124117340487,482450,139421
1009.42589105472,0.540098169768269,491458,141706
1013.19092656075,0.54134662506952,499843,143710
1016.95164897815,0.542459011521532,506896,145365
1020.70805830691,0.541587987826444,512583,147291
1024.46015454704,0.540518451776409,516710,148843
1028.20793769854,0.538829129159739,519030,150094
1031.95140776141,0.538266299550688,518900,150251
1036.93599192959,0.535459550662811,518793,151194
1040.66939811898,0.533454904612769,518378,151772
1044.39849121975,0.530968094363676,517629,152423
1048.12327123188,0.529340839538043,517016,152814
1051.84373815538,0.527037409794976,515671,153227
1055.55989199025,0.527061316279311,513781,152657
1059.27173273648,0.525168949411641,511708,152705
1064.21414448248,0.522502151956278,508349,152637
1067.91592135525,0.521939996660457,506188,152185
1071.61338513938,0.519826047364164,504263,152346
1075.30653583488,0.518373001848269,502196,152230
1078.99537344174,0.516962315165543,500791,152298
1082.67989795998,0.514732599264598,499607,152720
1086.36010938958,0.515256321393474,499034,152361
1090.03600773056,0.513333958158245,498043,152733
1094.93049626954,0.511395888217421,499075,153734
1098.59633073703,0.512132370862395,500696,153972
1102.2578521159,0.510923291905465,501788,154738
1105.91506040614,0.5103383120864,503305,155415
1109.56795560774,0.511009825121441,505112,155732
1113.21653772071,0.510939563840348,507576,156517
1116.86080674505,0.511726782717287,510261,157060
1120.50076268076,0.513617060243895,513048,157232
1125.34732801272,0.516229138991256,517118,157529
1128.97722007495,0.519078175539676,520581,157547
1132.60279904855,0.522683074305148,524427,157399
1136.22406493352,0.530943268160579,528466,155623
1139.84101772986,0.541803814265291,532886,153049
1143.45365743757,0.554937784320271,536838,149591
1147.06198405664,0.570677602568615,541119,145417
1150.66599758709,0.584464428498029,545478,142008
1155.46463971203,0.595694493558788,551844,139998
1159.058589369,0.606514083642907,557161,137869
1162.64822593734,0.618277197802893,562302,135423
1166.23354941704,0.635697393072116,568178,131458
1169.81455980812,0.652090419408977,574011,127888
1173.39125711056,0.668870528420088,580020,124329
1176.96364132437,0.687224838493385,586541,120524
1180.53171244955,0.716308855707034,592702,113901
1185.28243136747,0.758849602119495,603044,105075
1188.84043861918,0.784888790187827,610496,100183
1192.39413278225,0.794052726007874,618069,99308
1195.94351385669,0.78971800505849,626553,101681
1199.4885818425,0.783911324593841,634739,104396
1203.02933673968,0.781873066540461,642902,106236
1206.56577854822,0.780872926984342,651802,107955
1210.09790726814,0.785561629734834,661001,108303
1214.80070297904,0.777593018750177,673300,112361
1218.32276782548,0.757991001135869,682816,119210
1221.84051958329,0.732186561420882,693202,128432
1225.35395825247,0.703535043100568,703688,139266
1228.86308383301,0.678214600345148,714299,149853
1232.36789632493,0.653848730727075,724449,160753
1235.86839572821,0.636741378609139,735243,169703
1240.52901901693,0.617368965095687,749881,180977
1244.01945454674,0.606136050418496,760472,188342
1247.50557698792,0.597580806876069,769166,194285
1250.98738634046,0.590119359318289,778059,199937
1254.46488260438,0.583721619241036,786671,205150
1257.93806577966,0.57816491596082,795425,210104
1261.40693586631,0.573427613849527,803958,214687
1264.87149286432,0.569926518495055,812971,218851
1269.48419294603,0.565643158966541,824682,224204
1272.93868607057,0.56134787908559,834168,229037
1276.38886610648,0.559851476434916,843200,232316
1279.83473305376,0.556808337548344,852194,236445
1283.27628691241,0.554929372124051,860946,239909
1286.71352768243,0.553552165134651,868884,242890
1290.14645536381,0.55086874978619,877344,246775
1293.57506995657,0.550674276887073,885846,249278
1298.13984683125,0.548824802862906,896395,253323
1301.55839755053,0.548011958769032,903365,255771
1304.97263518118,0.548055188343898,910138,257663
1308.3825597232,0.547470547492927,917549,260111
1311.78817117658,0.547694810642328,924224,261868
1315.18946954133,0.54823964519952,929653,263076
1318.58645481745,0.549202572767143,934649,263904
1321.97912700494,0.550061360734954,939707,264808
1326.49598067261,0.551858272152387,945677,265390
1329.87858898662,0.555259640276088,950103,264552
1333.25688421201,0.558306745704604,953845,263737
1336.63086634876,0.562098551410654,957047,262322
1340.00053539688,0.566512951808713,959726,260396
1343.36589135636,0.572299362668612,961442,257409
1346.72693422722,0.580083021568931,962546,253127
1350.08366400944,0.591404634426593,963028,246737
1354.55259447009,0.616778776459156,961157,232282
1357.89926037884,0.640336039176343,960021,219758
1361.24161319896,0.660146693844382,959327,209807
1364.57965293045,0.676321974564823,958722,202009
1367.9133795733,0.691876583747573,958383,194833
1371.24279312752,0.70870687252831,958255,187402
1374.56789359312,0.727636398668978,957143,179201
1378.99465163159,0.754015688016127,953901,168069
1382.30968822371,0.772138325992697,950611,160644
1385.62041172719,0.79029382312819,946429,153389
1388.92682214204,0.808925897450348,942188,146289
1392.22891946827,0.825162538970819,937857,140273
1395.52670370586,0.837750595162628,933593,135646
1398.82017485482,0.836173356987651,929852,135594
1402.10933291514,0.829276726601332,927291,137385
1406.4881677466,0.828774867332602,924838,137180
1409.76726193345,0.839804059180039,922749,133438
1413.04204303167,0.850314994264721,921309,130044
1416.31251104126,0.857198522368561,919833,127794
1419.57866596222,0.861498765088767,918729,126383
1422.84050779454,0.863080734332655,917208,125715
1426.09803653824,0.868916770782443,915833,123851
1429.3512521933,0.874780361101561,915750,122179
1433.68216381773,0.878840333816768,915121,120959
1436.92531559932,0.88139702918262,913363,120018
1440.16415429228,0.881588551914825,912936,119909
1443.3986798966,0.880586972265898,911585,120008
1446.6288924123,0.878323910407539,910497,120491
1449.85479183936,0.874776068387945,908051,121153
1453.07637817779,0.870922360392076,905727,121920
1456.29365142759,0.867762024650201,903172,122464
1460.576639845,0.864302344312077,898347,122784
1463.78384922132,0.86041193472872,894476,123355
1466.98674550902,0.858340502290542,889693,123282
1470.18532870808,0.855302248703803,885619,123579
1473.37959881851,0.851515401426403,880836,123988
1476.5695558403,0.850045261833184,875537,123660
1479.75519977347,0.846458116229688,869901,123883
1482.936530618,0.845171405237318,864338,123456
1487.1715958284,0.841483283214867,856064,123317
1490.34286279946,0.838801564110518,849780,123170
1493.50981668188,0.836601423433711,843557,122889
1496.67245747568,0.831694570661722,836401,123231
1499.83078518084,0.824964317328296,829213,124080
1502.98479979738,0.818937561118853,821641,124665
1506.13450132528,0.813219957492564,814056,125151
1510.3273941135,0.806356552128726,803437,125486
1513.46703176792,0.802116546052753,794826,125359
1516.60235633372,0.799695934054246,785238,124539
1519.73336781088,0.795291061211802,777058,124498
1522.86006619941,0.789427411268487,768275,124764
1525.98245149931,0.785119556639633,758619,124424
1529.10052371058,0.780759605535087,748669,124031
1532.21428283322,0.778690590714222,738857,122990
1536.35925241442,0.773433415427898,725937,122311
1539.46294766358,0.772639462292353,715458,120766
1542.56232982411,0.770995993102689,704428,119355
1545.65739889601,0.76964168455247,693680,117901
1548.74815487928,0.767244611085422,682501,116643
1551.83459777391,0.763643151118767,671114,115652
