***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,34.28,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,9.94,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3094,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/18T00:23:35,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2425602,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,11min 0sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.216985186587547,65443,39708
904.844796792001,0.226165278611245,82171,48815
910.021073788255,0.237965767953744,99678,57628
913.898249598708,0.241957457477085,110587,63350
917.771112320529,0.245292306543721,123185,70027
921.639661953718,0.247342595604711,139111,78708
925.503898498276,0.250383696721758,159569,89653
929.363821954203,0.249501093082098,183258,103172
933.219432321497,0.246237309083216,207371,117628
937.070729600159,0.243847827535552,229890,131121
942.199083389394,0.237135443500976,255937,148251
946.040316794582,0.232636681193928,272586,159539
949.877237111139,0.229185113403288,287311,169499
953.709844339064,0.229015540719305,300732,177486
957.538138478358,0.227799466129959,313797,185716
961.362119529019,0.228397636337163,326713,193094
965.181787491049,0.228494279352762,339646,200693
968.997142364448,0.230255403785978,353609,208098
974.077572946662,0.232318924722738,373087,218520
977.882863946587,0.234270638374791,388028,226252
981.683841857879,0.237400419491844,402790,233173
985.48050668054,0.23939624924588,417062,240328
989.272858414569,0.242362494647874,431192,246779
993.060897059966,0.244495437062966,444758,253296
996.844622616732,0.245996527477078,456216,258925
1000.62403508487,0.247821282519904,468463,264761
1005.65654246006,0.250258719023436,482450,271140
1009.42589105472,0.251054368596951,491458,275697
1013.19092656075,0.253103343985217,499843,279081
1016.95164897815,0.253814330290158,506896,282556
1020.70805830691,0.25371717011304,512583,285790
1024.46015454704,0.25357398754287,516710,288186
1028.20793769854,0.252334953007796,519030,290307
1031.95140776141,0.250908705718532,518900,291189
1036.93599192959,0.249861196095133,518793,291832
1040.66939811898,0.248163009720699,518378,292741
1044.39849121975,0.247174695585456,517629,292984
1048.12327123188,0.246123812683189,517016,293346
1051.84373815538,0.245038435320712,515671,293315
1055.55989199025,0.244806612553098,513781,292396
1059.27173273648,0.243374694802418,511708,292178
1064.21414448248,0.242052637450463,508349,291145
1067.91592135525,0.241632395986273,506188,290188
1071.61338513938,0.240758081734656,504263,289667
1075.30653583488,0.239460269174341,502196,289343
1078.99537344174,0.239321064695102,500791,288626
1082.67989795998,0.238396900484823,499607,288557
1086.36010938958,0.237757069419241,499034,288651
1090.03600773056,0.236990076961241,498043,288587
1094.93049626954,0.236328269138556,499075,289626
1098.59633073703,0.235702027295804,500696,290986
1102.2578521159,0.23521030402594,501788,291951
1105.91506040614,0.236289280391346,503305,292107
1109.56795560774,0.236844796421027,505112,292781
1113.21653772071,0.237709528214709,507576,293624
