***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,34,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,10,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3086,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/18T00:17:33,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2271448,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,10min 34sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.684693816705701,65443,13526
904.844796792001,0.67694869795725,82171,17289
910.021073788255,0.685006250932636,99678,20587
913.898249598708,0.673672363986964,110587,23444
917.771112320529,0.683251920827685,123185,25545
921.639661953718,0.674585967568606,139111,29429
925.503898498276,0.669595968819723,159569,34147
929.363821954203,0.662209793678042,183258,39889
933.219432321497,0.655418154132262,207371,45849
937.070729600159,0.645433226501517,229890,52010
942.199083389394,0.630771510441619,255937,59891
946.040316794582,0.620025418660501,272586,65385
949.877237111139,0.61279534490403,287311,70074
953.709844339064,0.604272238645207,300732,74801
957.538138478358,0.600916930405836,313797,78656
961.362119529019,0.596335438374019,326713,82762
965.181787491049,0.590226226940871,339646,87257
968.997142364448,0.589167049112943,353609,91066
974.077572946662,0.586379151352639,373087,96701
977.882863946587,0.584515892613769,388028,101006
981.683841857879,0.582840070411372,402790,105254
985.48050668054,0.583009264069491,417062,108941
989.272858414569,0.581730632557166,431192,112964
993.060897059966,0.583370110539827,444758,116079
996.844622616732,0.58403614421054,456216,118887
1000.62403508487,0.582989688277235,468463,122373
1005.65654246006,0.58414467399441,482450,125692
1009.42589105472,0.58413395979768,491458,128042
1013.19092656075,0.585538847208296,499843,129806
1016.95164897815,0.587478524917328,506896,131051
1020.70805830691,0.585863579768101,512583,133015
1024.46015454704,0.583682641599132,516710,134761
1028.20793769854,0.582215944612387,519030,135824
1031.95140776141,0.58069935014138,518900,136265
1036.93599192959,0.576290464370961,518793,137627
1040.66939811898,0.575668468902519,518378,137714
1044.39849121975,0.574829267061168,517629,137781
1048.12327123188,0.572110656205901,517016,138482
1051.84373815538,0.570700357426731,515671,138571
1055.55989199025,0.568573219269142,513781,138741
1059.27173273648,0.567252709642523,511708,138602
1064.21414448248,0.566311211645995,508349,137991
1067.91592135525,0.564599585189494,506188,137947
1071.61338513938,0.562064220784086,504263,138227
1075.30653583488,0.560950106200468,502196,138014
1078.99537344174,0.560479791265675,500791,137777
1082.67989795998,0.558853293696443,499607,137967
1086.36010938958,0.558735967507166,499034,137846
1090.03600773056,0.558806245737896,498043,137550
1094.93049626954,0.558859872250629,499075,137818
1098.59633073703,0.558463136218601,500696,138392
1102.2578521159,0.558534623777701,501788,138671
1105.91506040614,0.56086463794949,503305,138346
1109.56795560774,0.55987014532278,505112,139161
1113.21653772071,0.561743302422404,507576,139238
1116.86080674505,0.563492218215912,510261,139412
1120.50076268076,0.564005147155094,513048,140008
1125.34732801272,0.5703593232952,517118,139069
1128.97722007495,0.573511007733601,520581,138988
1132.60279904855,0.582457566699382,524427,137160
1136.22406493352,0.59086626928975,528466,135566
