***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,33.14,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,25.13,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3082,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/10/03T17:27:34,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2870684,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,7min 5sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.392764847149557,65443,26491
904.844796792001,0.40320953394904,82171,32472
910.021073788255,0.413251404359371,99678,38490
913.898249598708,0.412635911550279,110587,42763
917.771112320529,0.416864331460009,123185,47173
921.639661953718,0.413783651370118,139111,53651
925.503898498276,0.414829667458387,159569,61393
929.363821954203,0.412055456040469,183258,70959
933.219432321497,0.409025026985384,207371,80858
937.070729600159,0.405851568239747,229890,90296
942.199083389394,0.396638755900593,255937,102682
946.040316794582,0.390368411584179,272586,110952
949.877237111139,0.385565795286555,287311,118246
953.709844339064,0.38198941734973,300732,124793
957.538138478358,0.378341063861589,313797,131313
961.362119529019,0.375200937226133,326713,137710
965.181787491049,0.374846993664774,339646,143278
968.997142364448,0.372330727461582,353609,150035
974.077572946662,0.371797290492352,373087,158494
977.882863946587,0.368885808557684,388028,165950
981.683841857879,0.369401285388981,402790,172059
985.48050668054,0.368754652396014,417062,178421
989.272858414569,0.370065350300736,431192,183910
993.060897059966,0.368894989543252,444758,190208
996.844622616732,0.370326831171824,456216,194466
1000.62403508487,0.369089758135578,468463,200256
1005.65654246006,0.370473561552786,482450,205579
1009.42589105472,0.369948042435711,491458,209671
1013.19092656075,0.370778323732498,499843,212841
1016.95164897815,0.370519403200001,506896,215973
1020.70805830691,0.369921372957522,512583,218697
1024.46015454704,0.369070811425345,516710,220890
1028.20793769854,0.366866175732642,519030,223011
1031.95140776141,0.364917090211158,518900,223958
1036.93599192959,0.363294407172769,518793,224750
1040.66939811898,0.361920068722041,518378,225282
1044.39849121975,0.360931760896844,517629,225469
1048.12327123188,0.35965696820514,517016,225864
1051.84373815538,0.358610305430633,515671,225820
1055.55989199025,0.357429319171693,513781,225605
1059.27173273648,0.355325197021806,511708,225786
1064.21414448248,0.354075976068844,508349,224950
1067.91592135525,0.353165147417497,506188,224464
1071.61338513938,0.352129985283895,504263,224144
1075.30653583488,0.350739636025145,502196,223941
1078.99537344174,0.35033429765375,500791,223523
1082.67989795998,0.349444268497524,499607,223452
1086.36010938958,0.348134236559646,499034,223870
1090.03600773056,0.347765907981183,498043,223615
1094.93049626954,0.346883702197252,499075,224534
1098.59633073703,0.346520029570978,500696,225452
1102.2578521159,0.347057989228097,501788,225664
1105.91506040614,0.347300246794634,503305,226220
1109.56795560774,0.347237489372726,505112,227065
1113.21653772071,0.347968330882161,507576,227789
1116.86080674505,0.348851056588217,510261,228529
1120.50076268076,0.350187887227158,513048,229071
1125.34732801272,0.351944909442127,517118,229956
1128.97722007495,0.354433935115809,520581,230173
1132.60279904855,0.358329349186274,524427,229803
1136.22406493352,0.364231592060574,528466,228447
1139.84101772986,0.372038044646813,532886,226254
1143.45365743757,0.382554225930002,536838,222479
1147.06198405664,0.395268807335783,541119,217783
1150.66599758709,0.406887370687017,545478,213742
1155.46463971203,0.41598675309422,551844,211753
1159.058589369,0.423141436505711,557161,210300
1162.64822593734,0.431213645083209,562302,208332
1166.23354941704,0.444099145558213,568178,204355
1169.81455980812,0.458526927289297,574011,199707
1173.39125711056,0.474614920902232,580020,194459
1176.96364132437,0.491655078534854,586541,189079
1180.53171244955,0.516034489294577,592702,180635
1185.28243136747,0.555632107644128,603044,167771
1188.84043861918,0.578972953925696,610496,160957
1192.39413278225,0.58973544718912,618069,158965
1195.94351385669,0.585890694555253,626553,162580
1199.4885818425,0.577285901580125,634739,168000
1203.02933673968,0.571496688641981,642902,172444
1206.56577854822,0.57010590833541,651802,175392
1210.09790726814,0.570737147460317,661001,177609
1214.80070297904,0.563643416601448,673300,183893
1218.32276782548,0.547490319402137,682816,193559
1221.84051958329,0.525158093905473,693202,206872
1225.35395825247,0.500935235114252,703688,222047
1228.86308383301,0.476131342185449,714299,238643
1232.36789632493,0.455529889079356,724449,253792
1235.86839572821,0.438633299641916,735243,267792
1240.52901901693,0.420900920121771,749881,284506
1244.01945454674,0.410658035652108,760472,295410
1247.50557698792,0.402424224146883,769166,304506
1250.98738634046,0.395886038282274,778059,312699
1254.46488260438,0.389546597030626,786671,320809
1257.93806577966,0.384181541409124,795425,328411
1261.40693586631,0.380615279742828,803958,334671
1264.87149286432,0.377193334471288,812971,341100
1269.48419294603,0.37304441555806,824682,349335
1272.93868607057,0.370311314558668,834168,355584
1276.38886610648,0.368637588435046,843200,360822
1279.83473305376,0.366651760094562,852194,366342
1283.27628691241,0.364618638284742,860946,371841
1286.71352768243,0.363425273463898,868884,376302
1290.14645536381,0.362141217948013,877344,381091
1293.57506995657,0.361164892776123,885846,385650
1298.13984683125,0.359987357772375,896395,391302
1301.55839755053,0.358512575724845,903365,395686
1304.97263518118,0.358618985506755,910138,398555
1308.3825597232,0.358586908863394,917549,401830
1311.78817117658,0.358429465202882,924224,404900
1315.18946954133,0.358345691502885,929653,407357
1318.58645481745,0.358806327316925,934649,409112
1321.97912700494,0.358544530327595,939707,411574
1326.49598067261,0.359960005255745,945677,412841
1329.87858898662,0.361022186201019,950103,413760
1333.25688421201,0.36288677718976,953845,413610
1336.63086634876,0.365362993925519,957047,412639
1340.00053539688,0.367573777695282,959726,411693
1343.36589135636,0.372103289257818,961442,408150
1346.72693422722,0.377581183485861,962546,403497
1350.08366400944,0.387467525997089,963028,394613
1354.55259447009,0.408844141352104,961157,374930
1357.89926037884,0.429016835257656,960021,357490
1361.24161319896,0.448223834370689,959327,341777
1364.57965293045,0.463424923417814,958722,329813
1367.9133795733,0.476967662891463,958383,319574
1371.24279312752,0.492797853303356,958255,308094
1374.56789359312,0.508707587610333,957143,296667
1378.99465163159,0.531134040894616,953901,280782
1382.30968822371,0.548185981122033,950611,269040
1385.62041172719,0.563034836614405,946429,258853
1388.92682214204,0.57842162126987,942188,248723
1392.22891946827,0.593266525859256,937857,239260
1395.52670370586,0.603070153869046,933593,232856
1398.82017485482,0.601774246075529,929852,232616
1402.10933291514,0.59473118525004,927291,235768
1406.4881677466,0.590394737522399,924838,237504
1409.76726193345,0.59606450206565,922749,233894
1413.04204303167,0.604044823163328,921309,229277
1416.31251104126,0.60918566747022,919833,226216
1419.57866596222,0.610422378286012,918729,225302
1422.84050779454,0.610391489783165,917208,224945
1426.09803653824,0.612983970778977,915833,223271
1429.3512521933,0.617168542756015,915750,221110
1433.68216381773,0.620237939412176,915121,219402
1436.92531559932,0.621659314747271,913363,218265
1440.16415429228,0.619116622103927,912936,219444
1443.3986798966,0.617177127760579,911585,220100
1446.6288924123,0.61345014486702,910497,221732
1449.85479183936,0.609717748921428,908051,223045
1453.07637817779,0.606476009190737,905727,224141
1456.29365142759,0.602204271695184,903172,225718
1460.576639845,0.598523581532537,898347,226423
1463.78384922132,0.594606381645577,894476,227490
1466.98674550902,0.591324375024616,889693,227990
1470.18532870808,0.586882646407393,885619,229279
1473.37959881851,0.583664110483784,880836,229737
1476.5695558403,0.581285596865347,875537,229609
1479.75519977347,0.578121695621785,869901,229799
1482.936530618,0.575957691223134,864338,229470
1487.1715958284,0.572847160430541,856064,228907
1490.34286279946,0.569926417659926,849780,228760
1493.50981668188,0.567042007193334,843557,228598
1496.67245747568,0.562378080419486,836401,229106
1499.83078518084,0.557208367964931,829213,229857
1502.98479979738,0.5517267606291,821641,230651
1506.13450132528,0.546030128341568,814056,231539
1510.3273941135,0.541142486426861,803437,231105
1513.46703176792,0.536996746905821,794826,230821
1516.60235633372,0.532963911723294,785238,230164
1519.73336781088,0.52915822160287,777058,229771
1522.86006619941,0.525478342718908,768275,229107
1525.98245149931,0.523023225188995,758619,227510
1529.10052371058,0.51918138055246,748669,226521
