***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.6,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,30.34,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3078,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/10/06T23:34:04,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.254392,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,8min 26sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.369046533956889,65443,27978
904.844796792001,0.384967492315889,82171,33865
910.021073788255,0.385709546166477,99678,41010
913.898249598708,0.393843708654082,110587,44654
917.771112320529,0.396488150127549,123185,49439
921.639661953718,0.398411675787366,139111,55584
925.503898498276,0.396992540237703,159569,63967
929.363821954203,0.397479316738476,183258,73381
933.219432321497,0.395347702966918,207371,83445
937.070729600159,0.391210404310264,229890,93392
942.199083389394,0.386881738293508,255937,105015
946.040316794582,0.382555795589083,272586,112966
949.877237111139,0.381773700518473,287311,119283
953.709844339064,0.37855424113262,300732,125784
957.538138478358,0.376845424949001,313797,131766
961.362119529019,0.377686837695804,326713,136924
965.181787491049,0.376222271552154,339646,142825
968.997142364448,0.376527881871793,353609,148592
974.077572946662,0.376813185147114,373087,156674
977.882863946587,0.376007215060238,388028,163251
981.683841857879,0.378022811579594,402790,168677
985.48050668054,0.378454968965138,417062,174480
989.272858414569,0.379123223480634,431192,180114
993.060897059966,0.380417131159908,444758,185228
996.844622616732,0.381497132671155,456216,189528
1000.62403508487,0.38324309667653,468463,193835
1005.65654246006,0.384437767907603,482450,199074
1009.42589105472,0.385890011750699,491458,202114
1013.19092656075,0.388548242007764,499843,204308
1016.95164897815,0.389778036576015,506896,206605
1020.70805830691,0.389019870756102,512583,209288
1024.46015454704,0.389654478946644,516710,210665
1028.20793769854,0.389036910528184,519030,211912
1031.95140776141,0.387369271279833,518900,212674
1036.93599192959,0.38711433225552,518793,212755
1040.66939811898,0.386648407803755,518378,212813
1044.39849121975,0.386108205971337,517629,212770
1048.12327123188,0.386079654231909,517016,212532
1051.84373815538,0.38569282597021,515671,212168
1055.55989199025,0.385110522962633,513781,211674
1059.27173273648,0.38475415956385,511708,210993
1064.21414448248,0.385237149189509,508349,209375
1067.91592135525,0.383656756161315,506188,209245
1071.61338513938,0.383878189805995,504263,208343
1075.30653583488,0.382745192506166,502196,208031
1078.99537344174,0.382385236841932,500791,207621
1082.67989795998,0.382238763577013,499607,207200
1086.36010938958,0.381633501095081,499034,207251
1090.03600773056,0.381888545934433,498043,206718
1094.93049626954,0.381843142053735,499075,207168
1098.59633073703,0.382168991034947,500696,207685
1102.2578521159,0.380979093954295,501788,208709
1105.91506040614,0.381554066726948,503305,209063
1109.56795560774,0.380866558324042,505112,210146
1113.21653772071,0.381714949634805,507576,210759
