***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,33,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,30.02,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3085,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/10/06T23:34:58,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2663577,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,8min 37sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.371443635136387,65443,27824
904.844796792001,0.387449659518303,82171,33672
910.021073788255,0.390233765150837,99678,40585
913.898249598708,0.393347977480234,110587,44705
917.771112320529,0.393913170259659,123185,49733
921.639661953718,0.396384954133558,139111,55844
925.503898498276,0.397481648901764,159569,63895
929.363821954203,0.398884235789445,183258,73144
933.219432321497,0.396196875843581,207371,83282
937.070729600159,0.392243984787417,229890,93170
942.199083389394,0.387374147446749,255937,104896
946.040316794582,0.382724985253389,272586,112922
949.877237111139,0.381297007616248,287311,119414
953.709844339064,0.378222908305636,300732,125880
957.538138478358,0.377244418430719,313797,131645
961.362119529019,0.375658463014527,326713,137565
965.181787491049,0.376003393038362,339646,142897
968.997142364448,0.374908787855705,353609,149147
974.077572946662,0.376192708953488,373087,156898
977.882863946587,0.376992638307548,388028,162881
981.683841857879,0.376978735048473,402790,169083
985.48050668054,0.378203644733005,417062,174581
989.272858414569,0.37955987373933,431192,179933
993.060897059966,0.381682738803824,444758,184689
996.844622616732,0.380796513524882,456216,189834
1000.62403508487,0.383700406905013,468463,193631
1005.65654246006,0.384370144406784,482450,199105
1009.42589105472,0.386864492502826,491458,201661
1013.19092656075,0.387940721173535,499843,204594
1016.95164897815,0.388472524333557,506896,207227
1020.70805830691,0.389713509308858,512583,208954
1024.46015454704,0.389057043248083,516710,210955
1028.20793769854,0.389014367607934,519030,211923
1031.95140776141,0.388131630869677,518900,212301
1036.93599192959,0.387913210641601,518793,212364
1040.66939811898,0.386415826547025,518378,212927
1044.39849121975,0.386255193302913,517629,212698
1048.12327123188,0.386729951920642,517016,212214
1051.84373815538,0.386249949966953,515671,211896
1055.55989199025,0.385609375827552,513781,211431
1059.27173273648,0.38525256274756,511708,210751
1064.21414448248,0.385386520319615,508349,209303
1067.91592135525,0.385126641205986,506188,208538
1071.61338513938,0.383715627924527,504263,208421
1075.30653583488,0.383309222245053,502196,207761
1078.99537344174,0.382954570123833,500791,207349
1082.67989795998,0.38288271761812,499607,206893
1086.36010938958,0.382842189522693,499034,206675
1090.03600773056,0.382733931238562,498043,206316
1094.93049626954,0.381979425508553,499075,207103
1098.59633073703,0.381178929023349,500696,208159
1102.2578521159,0.382592674448325,501788,207935
1105.91506040614,0.38199884470533,503305,208849
1109.56795560774,0.382896594989843,505112,209166
1113.21653772071,0.382579209336067,507576,210340
1116.86080674505,0.382681229786492,510261,211403
1120.50076268076,0.384605393394938,513048,211618
1125.34732801272,0.386349273729299,517118,212442
1128.97722007495,0.387578908449212,520581,213260
1132.60279904855,0.389754538981846,524427,213762
1136.22406493352,0.393318219611871,528466,213648
1139.84101772986,0.401531381997261,532886,211399
1143.45365743757,0.410533109547627,536838,208598
1147.06198405664,0.421189508780311,541119,205165
1150.66599758709,0.431275398022613,545478,202070
1155.46463971203,0.4377223580944,551844,201416
1159.058589369,0.441709969351501,557161,201498
1162.64822593734,0.449332847012578,562302,199819
1166.23354941704,0.460726422231938,568178,196679
1169.81455980812,0.474749007370314,574011,192385
1173.39125711056,0.4873006840747,580020,188861
1176.96364132437,0.503905613509763,586541,183820
1180.53171244955,0.526367356766248,592702,176388
1185.28243136747,0.561939548546276,603044,165352
