***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,31.12,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,31.07,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3067,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/10/06T23:23:38,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2759457,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,8min 9sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.43505521333886,65443,24033
904.844796792001,0.444072914371541,82171,29556
910.021073788255,0.454183974418323,99678,35028
913.898249598708,0.464572410873014,110587,37943
917.771112320529,0.461954358227657,123185,42521
921.639661953718,0.464961470825624,139111,47687
925.503898498276,0.464738945960262,159569,54728
929.363821954203,0.461090151484658,183258,63383
933.219432321497,0.458704347742898,207371,72118
937.070729600159,0.455077286459316,229890,80620
942.199083389394,0.447667054278012,255937,91299
946.040316794582,0.446619213854862,272586,97473
949.877237111139,0.444407515693746,287311,103263
953.709844339064,0.442954090774608,300732,108449
957.538138478358,0.443627997329391,313797,112985
961.362119529019,0.446645495990104,326713,116821
965.181787491049,0.450021437229792,339646,120505
968.997142364448,0.4590633136913,353609,122874
974.077572946662,0.478195843493946,373087,124055
977.882863946587,0.496981650840226,388028,123561
981.683841857879,0.510981561852867,402790,124193
985.48050668054,0.508665918785947,417062,129281
989.272858414569,0.49784869833441,431192,137032
993.060897059966,0.490685134241319,444758,143694
996.844622616732,0.487792218753603,456216,148381
1000.62403508487,0.488431883346658,468463,152140
1005.65654246006,0.492118689024987,482450,155358
1009.42589105472,0.494219638167795,491458,157495
1013.19092656075,0.49682235689667,499843,159225
1016.95164897815,0.500031401666755,506896,160283
1020.70805830691,0.501578226445414,512583,161505
1024.46015454704,0.501053933483794,516710,163002
1028.20793769854,0.500142107214056,519030,164078
1031.95140776141,0.49832151800145,518900,164726
1036.93599192959,0.49626959148606,518793,165472
1040.66939811898,0.494666688007447,518378,165951
1044.39849121975,0.493175971899735,517629,166281
1048.12327123188,0.491769033780515,517016,166623
1051.84373815538,0.488308636664129,515671,167519
1055.55989199025,0.486719152912152,513781,167517
1059.27173273648,0.487409777615537,511708,166576
1064.21414448248,0.483411696383754,508349,167013
1067.91592135525,0.482615994248653,506188,166608
1071.61338513938,0.481435928060265,504263,166426
1075.30653583488,0.479312966928848,502196,166556
1078.99537344174,0.476784038249429,500791,167060
1082.67989795998,0.475350684255001,499607,167216
1086.36010938958,0.474104953361963,499034,167504
1090.03600773056,0.473643718904428,498043,167349
1094.93049626954,0.469049922630497,499075,169479
1098.59633073703,0.468015336936939,500696,170435
1102.2578521159,0.465547672770046,501788,171780
1105.91506040614,0.464777872695516,503305,172605
1109.56795560774,0.463928035782154,505112,173564
1113.21653772071,0.462964619693616,507576,174798
1116.86080674505,0.46185056080244,510261,176174
1120.50076268076,0.463123036390299,513048,176618
1125.34732801272,0.465177408895709,517118,177179
1128.97722007495,0.470847350179292,520581,176052
1132.60279904855,0.47497260879274,524427,175676
1136.22406493352,0.484659773428886,528466,173124
1139.84101772986,0.493120403300739,532886,171204
1143.45365743757,0.507012368751212,536838,167044
1147.06198405664,0.522012015368356,541119,162660
1150.66599758709,0.537655870616971,545478,158169
1155.46463971203,0.556180692143379,551844,153333
1159.058589369,0.573193942216434,557161,148863
1162.64822593734,0.589180071961385,562302,144807
1166.23354941704,0.608912009838249,568178,139821
1169.81455980812,0.629037059694158,574011,134860
1173.39125711056,0.651649676639708,580020,129358
1176.96364132437,0.675318213707336,586541,123874
1180.53171244955,0.705906975210912,592702,116662
1185.28243136747,0.752249710076841,603044,106684
1188.84043861918,0.785036205603502,610496,100149
1192.39413278225,0.799248440046672,618069,98127
1195.94351385669,0.801932814644438,626553,98861
1199.4885818425,0.791638344350268,634739,102555
1203.02933673968,0.781762704128643,642902,106263
1206.56577854822,0.779844278266746,651802,108211
1210.09790726814,0.779884653076741,661001,109728
1214.80070297904,0.769478993716226,673300,114480
1218.32276782548,0.752578428730091,682816,120705
1221.84051958329,0.728107384885261,693202,129644
1225.35395825247,0.702376525165567,703688,139638
1228.86308383301,0.67603200078005,714299,150608
1232.36789632493,0.651351516769669,724449,161680
1235.86839572821,0.636523905794053,735243,169788
1240.52901901693,0.621320027723539,749881,179338
1244.01945454674,0.614259074522152,760472,184852
1247.50557698792,0.607074516159623,769166,190084
1250.98738634046,0.601236345717859,778059,194884
1254.46488260438,0.594402829970018,786671,200166
1257.93806577966,0.589576877110829,795425,204655
1261.40693586631,0.586112721435574,803958,208507
1264.87149286432,0.583016653048137,812971,212353
1269.48419294603,0.581897109035525,824682,215968
1272.93868607057,0.581706689126722,834168,218548
1276.38886610648,0.578105086451006,843200,222754
1279.83473305376,0.574631249044454,852194,226938
1283.27628691241,0.569066941067293,860946,232225
1286.71352768243,0.563718969752213,868884,237270
1290.14645536381,0.557982047758501,877344,242766
1293.57506995657,0.553400663484903,885846,247718
1298.13984683125,0.547610997980302,896395,254032
1301.55839755053,0.545131566917408,903365,257473
1304.97263518118,0.543147834910799,910138,260591
1308.3825597232,0.542703242337689,917549,262982
1311.78817117658,0.541717623863814,924224,265497
1315.18946954133,0.541916980704058,929653,266934
1318.58645481745,0.54338808160923,934649,267461
1321.97912700494,0.54495652981603,939707,267939
1326.49598067261,0.547776597468483,945677,267896
1329.87858898662,0.552797631975913,950103,266056
1333.25688421201,0.55858677416819,953845,263567
1336.63086634876,0.566526540933966,957047,259661
1340.00053539688,0.576234279252122,959726,254632
1343.36589135636,0.589504085450518,961442,247411
1346.72693422722,0.605603644840477,962546,238681
1350.08366400944,0.625949856187331,963028,227871
1354.55259447009,0.663625789979917,961157,208530
1357.89926037884,0.694877662495601,960021,193822
1361.24161319896,0.723743766469307,959327,181227
1364.57965293045,0.749352329076133,958722,170742
1367.9133795733,0.771426672932408,958383,162223
1371.24279312752,0.792636947454885,958255,154470
1374.56789359312,0.814774726303854,957143,146623
1378.99465163159,0.83010866103758,953901,141057
1382.30968822371,0.84049364657653,950611,137249
1385.62041172719,0.847278581875281,946429,134527
1388.92682214204,0.858576978728358,942188,130485
1392.22891946827,0.872911920897533,937857,125668
1395.52670370586,0.878750932178176,933593,123426
1398.82017485482,0.879866685129672,929852,122616
1402.10933291514,0.872200205971958,927291,124456
1406.4881677466,0.877635420127095,924838,122583
1409.76726193345,0.896063341804175,922749,117225
1413.04204303167,0.923573625392626,921309,109858
1416.31251104126,0.959430614099845,919833,100990
1419.57866596222,0.995499074794474,918729,92830
1422.84050779454,1.0355545933973,917208,84511
1426.09803653824,1.08864687286452,915833,74674
1429.3512521933,1.15998232242767,915750,63357
1433.68216381773,1.26234351667053,915121,50019
1436.92531559932,1.29836735035564,913363,45949
1440.16415429228,1.28103060812771,912936,47798
1443.3986798966,1.23223964787903,911585,53402
1446.6288924123,1.18619453206108,910497,59304
1449.85479183936,1.15365048979061,908051,63747
1453.07637817779,1.13882422574446,905727,65792
1456.29365142759,1.13493871790615,903172,66196
1460.576639845,1.14409992459014,898347,64468
1463.78384922132,1.15353298458656,894476,62811
1466.98674550902,1.16277979787773,889693,61159
1470.18532870808,1.1740970344637,885619,59313
1473.37959881851,1.1841484806957,880836,57643
1476.5695558403,1.19092610323061,875537,56409
1479.75519977347,1.20238855922346,869901,54586
1482.936530618,1.21007863675153,864338,53285
1487.1715958284,1.21646113336675,856064,52005
1490.34286279946,1.22032503903791,849780,51166
1493.50981668188,1.21919192416517,843557,50924
1496.67245747568,1.22291502272327,836401,50061
1499.83078518084,1.22109678234386,829213,49839
1502.98479979738,1.22016464867374,821641,49490
1506.13450132528,1.21857444139794,814056,49213
1510.3273941135,1.21721780697759,803437,48723
1513.46703176792,1.21360898838476,794826,48603
1516.60235633372,1.21397727240719,785238,47976
1519.73336781088,1.21282823596488,777058,47602
1522.86006619941,1.20529000179207,768275,47888
1525.98245149931,1.20467621714441,758619,47353
1529.10052371058,1.19945625598867,748669,47297
1532.21428283322,1.19571471354368,738857,47081
1536.35925241442,1.19253165531174,725937,46598
1539.46294766358,1.18057774223192,715458,47207
1542.56232982411,1.17761859742752,704428,46797
1545.65739889601,1.17561570385984,693680,46296
1548.74815487928,1.17589149801908,682501,45521
1551.83459777391,1.17715968092691,671114,44631
1554.91672757992,1.17845680568553,659970,43759
1557.99454429729,1.18151971991297,647979,42662
1562.09159067147,1.19054666760334,631488,40721
1565.15934351537,1.19637779793092,619340,39405
1568.22278327063,1.20443280145603,606917,37905
1571.28190993727,1.20316070715334,594685,37250
1574.33672351527,1.20762065240705,582323,36103
1577.38722400464,1.20990435968365,569357,35114
1580.43341140538,1.21648697659452,556948,33832
1583.47528571749,1.21769855029195,544505,32984
1587.52440888465,1.21213709105019,527863,32388
1590.55621932328,1.21078087219453,515169,31708
1593.58371667328,1.20163364841853,502141,31564
1596.60690093465,1.18890611062984,490126,31725
1599.62577210739,1.17720973681707,477824,31773
1602.6403301915,1.1718827806945,465418,31330
1605.65057518697,1.15472057228553,452768,31707
1608.65650709382,1.14449003560877,439298,31497
1612.65770705396,1.13285245779022,420391,30960
1615.65357508733,1.12421146254959,406918,30570
1618.64513003206,1.11738556072695,394191,30083
1621.63237188817,1.1096106515889,381894,29671
1624.61530065564,1.1053103529522,369376,28984
1627.59391633449,1.09718154255142,357586,28589
1630.5682189247,1.08237720249784,345747,28601
1633.53820842628,1.08073747632917,334364,27764
1637.4914851794,1.07232055244411,319040,27010
1640.4514108075,1.06641714008263,307846,26419
1643.40702334698,1.0521877584422,296739,26314
1646.35832279782,1.05627791309822,284919,25029
1649.30530916003,1.05053525269233,273144,24314
1652.2479824336,1.05009439935195,260926,23250
1655.18634261855,1.03361397532649,248001,22953
1659.09744694949,1.02887719599702,228681,21397
1662.02574326097,1.01867438718393,212222,20329
1664.94972648381,1.01003094925077,193672,18925
1667.86939661802,1.00202403095816,173346,17254
1670.78475366359,0.994946186116558,152416,15420
1673.69579762054,0.998939047728321,131239,13156
1676.60252848885,1.01587568035023,111046,10706
1679.50494626853,1.0524457392715,93078,8249
1683.36812739246,1.18464382190166,72973,4770
1686.26048129867,1.25200262809956,60866,3407
1689.14852211624,1.32844784715547,50915,2390
