***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,33.16,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,13.1,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3086,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/26T19:19:02,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2498141,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,16min 33sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.710148689224103,65443,12756
904.844796792001,0.712884641783918,82171,15916
910.021073788255,0.719434472391691,99678,19018
913.898249598708,0.720575783571424,110587,21044
917.771112320529,0.734206849815398,123185,22717
921.639661953718,0.738442273308056,139111,25405
925.503898498276,0.748195103411093,159569,28494
929.363821954203,0.747719049460904,183258,32760
933.219432321497,0.750239822718804,207371,36856
937.070729600159,0.752641192103333,229890,40633
942.199083389394,0.759978060351682,255937,44479
946.040316794582,0.75935886637766,272586,47440
949.877237111139,0.76757159922401,287311,49066
953.709844339064,0.775146337813133,300732,50470
957.538138478358,0.784192709678531,313797,51577
961.362119529019,0.792471187978862,326713,52686
965.181787491049,0.795763034975989,339646,54358
968.997142364448,0.799970938788194,353609,56047
974.077572946662,0.80306105134775,373087,58715
977.882863946587,0.807869270660074,388028,60394
981.683841857879,0.808580667081004,402790,62589
985.48050668054,0.81327484465205,417062,64110
989.272858414569,0.81318991974606,431192,66295
993.060897059966,0.814562329568781,444758,68165
996.844622616732,0.812011370090358,456216,70333
1000.62403508487,0.818793478266587,468463,71102
1005.65654246006,0.815290036347491,482450,73818
1009.42589105472,0.816517804929948,491458,74984
1013.19092656075,0.815382281039653,499843,76463
1016.95164897815,0.813420433406496,506896,77893
1020.70805830691,0.814972002509225,512583,78486
1024.46015454704,0.812786879890687,516710,79517
1028.20793769854,0.810650018849964,519030,80268
1031.95140776141,0.806609375269207,518900,80998
1036.93599192959,0.806166077934667,518793,81064
1040.66939811898,0.80437443036895,518378,81334
1044.39849121975,0.803026214003341,517629,81469
1048.12327123188,0.799584218382688,517016,82020
1051.84373815538,0.797421647369951,515671,82215
1055.55989199025,0.796498365095365,513781,82088
1059.27173273648,0.798798134794846,511708,81325
1064.21414448248,0.797843197974178,508349,80969
1067.91592135525,0.799498959734974,506188,80318
1071.61338513938,0.800752184087388,504263,79782
1075.30653583488,0.799812895525438,502196,79627
1078.99537344174,0.801496503479662,500791,79097
1082.67989795998,0.80217395063813,499607,78787
1086.36010938958,0.803730989029421,499034,78415
1090.03600773056,0.809070491976528,498043,77303
1094.93049626954,0.81211524791234,499075,76922
1098.59633073703,0.813896344192887,500696,76856
1102.2578521159,0.817938817620837,501788,76310
1105.91506040614,0.821011938200756,503305,76001
1109.56795560774,0.82345500450392,505112,75846
1113.21653772071,0.828659964985288,507576,75308
