***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.67,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,13.21,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3081,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/26T19:17:36,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2341561,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,16min 13sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.331164846771023,65443,30528
904.844796792001,0.333485937839638,82171,38127
910.021073788255,0.345116658036965,99678,45028
913.898249598708,0.34820488868513,110587,49602
917.771112320529,0.348280572710044,123185,55243
921.639661953718,0.351495457296496,139111,61925
925.503898498276,0.352847795796786,159569,70811
929.363821954203,0.353127338981885,183258,81271
933.219432321497,0.351706328875616,207371,92266
937.070729600159,0.3461184065734,229890,103610
942.199083389394,0.34122971699033,255937,116655
946.040316794582,0.337788230258058,272586,125232
949.877237111139,0.334037177281995,287311,133142
953.709844339064,0.332057811119782,300732,139998
957.538138478358,0.330283807687131,313797,146678
961.362119529019,0.330512284492258,326713,152635
965.181787491049,0.328933427871882,339646,159255
968.997142364448,0.330568477526266,353609,165179
974.077572946662,0.331168528124074,373087,174037
977.882863946587,0.332099631832391,388028,180619
981.683841857879,0.333513530511157,402790,186881
985.48050668054,0.334629811355013,417062,193006
989.272858414569,0.336654276866266,431192,198617
993.060897059966,0.336382618803949,444758,204994
996.844622616732,0.337971974303124,456216,209507
1000.62403508487,0.339134631300457,468463,214556
1005.65654246006,0.34016978895865,482450,220436
1009.42589105472,0.341151152717125,491458,224045
1013.19092656075,0.34201068827048,499843,227417
1016.95164897815,0.343006020327772,506896,230098
1020.70805830691,0.342995811086775,512583,232685
1024.46015454704,0.342058896954172,516710,235065
1028.20793769854,0.340348837051397,519030,237052
1031.95140776141,0.338223966856075,518900,238155
1036.93599192959,0.337221750232841,518793,238656
1040.66939811898,0.33602157872891,518378,239125
1044.39849121975,0.334040853882488,517629,239871
1048.12327123188,0.334082427446675,517016,239564
1051.84373815538,0.33264126521415,515671,239735
1055.55989199025,0.329935720161636,513781,240349
1059.27173273648,0.329994218388513,511708,239347
1064.21414448248,0.328793788947116,508349,238434
1067.91592135525,0.3269381963709,506188,238437
1071.61338513938,0.325257955137754,504263,238451
1075.30653583488,0.323871329506222,502196,238233
1078.99537344174,0.322332047582712,500791,238410
1082.67989795998,0.321996818041675,499607,238030
1086.36010938958,0.320406914532386,499034,238629
1090.03600773056,0.320157378117879,498043,238292
1094.93049626954,0.317652482242077,499075,240167
1098.59633073703,0.317997002686302,500696,240756
1102.2578521159,0.318155571792945,501788,241193
1105.91506040614,0.317940511982032,503305,242042
1109.56795560774,0.317374117483531,505112,243228
1113.21653772071,0.317787432368423,507576,244182
1116.86080674505,0.318107221042413,510261,245293
1120.50076268076,0.318686534072459,513048,246304
1125.34732801272,0.320212781043354,517118,247387
1128.97722007495,0.323539999168661,520581,247143
1132.60279904855,0.325885293109351,524427,247628
1136.22406493352,0.331942498003017,528466,246079
1139.84101772986,0.341292626148354,532886,242852
1143.45365743757,0.35161801060444,536838,238905
1147.06198405664,0.364463137136681,541119,233792
1150.66599758709,0.375930214455571,545478,229534
1155.46463971203,0.387696356049477,551844,226006
1159.058589369,0.394244295788378,557161,224769
1162.64822593734,0.4048842158607,562302,221353
1166.23354941704,0.41957649941148,568178,216226
1169.81455980812,0.433540033273384,574011,211534
1173.39125711056,0.450044027069674,580020,205778
1176.96364132437,0.468070393017692,586541,199631
1180.53171244955,0.492062315267738,592702,190886
1185.28243136747,0.53310262017382,603044,176704
1188.84043861918,0.556610495102418,610496,169462
1192.39413278225,0.567686415482532,618069,167244
1195.94351385669,0.564986424073849,626553,170597
1199.4885818425,0.559194959995208,634739,175146
1203.02933673968,0.555015244084742,642902,179114
1206.56577854822,0.554820519862219,651802,181675
