***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,34.19,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,9.66,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3093,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/18T00:29:58,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2268174,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,11min 27sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.408659311682991,65443,25539
904.844796792001,0.421874404595946,82171,31106
910.021073788255,0.429682181943758,99678,37061
913.898249598708,0.436699666636262,110587,40458
917.771112320529,0.439318591872038,123185,44796
921.639661953718,0.439820769186106,139111,50529
925.503898498276,0.443613135594757,159569,57456
929.363821954203,0.445490962773723,183258,65701
933.219432321497,0.440593713136867,207371,75189
937.070729600159,0.437504553084813,229890,83949
942.199083389394,0.434825072761664,255937,94039
946.040316794582,0.429088852680478,272586,101488
949.877237111139,0.42755020495323,287311,107350
953.709844339064,0.426155545895285,300732,112726
957.538138478358,0.423271409454224,313797,118407
961.362119529019,0.423672052149178,326713,123167
965.181787491049,0.423670663334807,339646,128043
968.997142364448,0.425658932769035,353609,132698
974.077572946662,0.424628644372486,373087,140340
977.882863946587,0.424789913824804,388028,145906
981.683841857879,0.427000011096287,402790,150688
985.48050668054,0.427474309031982,417062,155857
989.272858414569,0.429141543630598,431192,160520
993.060897059966,0.430829376080885,444758,164928
996.844622616732,0.432168716407868,456216,168656
1000.62403508487,0.435010521489564,468463,172054
1005.65654246006,0.435795679481624,482450,176871
1009.42589105472,0.437107539053264,491458,179630
1013.19092656075,0.439220625120599,499843,181808
1016.95164897815,0.44024504307109,506896,183939
1020.70805830691,0.440459111644025,512583,185911
1024.46015454704,0.441314694743866,516710,187039
1028.20793769854,0.439673800338412,519030,188590
1031.95140776141,0.440646392023567,518900,188121
1036.93599192959,0.439003619211132,518793,188795
1040.66939811898,0.438778009036473,518378,188742
1044.39849121975,0.438331863517918,517629,188663
1048.12327123188,0.438485328992619,517016,188373
1051.84373815538,0.439051913265522,515671,187638
1055.55989199025,0.437475761129644,513781,187630
1059.27173273648,0.436862543742656,511708,187137
1064.21414448248,0.435797619920024,508349,186365
1067.91592135525,0.43743835656609,506188,184873
1071.61338513938,0.437023384646682,504263,184346
1075.30653583488,0.436300966410384,502196,183896
1078.99537344174,0.435724706520955,500791,183625
1082.67989795998,0.435778911242564,499607,183168
1086.36010938958,0.434610052364505,499034,183451
1090.03600773056,0.43458086806615,498043,183099
1094.93049626954,0.433730528822316,499075,183838
1098.59633073703,0.43360599910562,500696,184488
1102.2578521159,0.43498079746204,501788,184306
1105.91506040614,0.43510577781311,503305,184810
1109.56795560774,0.43552632954682,505112,185294
1113.21653772071,0.434217213660389,507576,186760
