***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,25.31,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,27.95,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3000,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/28T22:22:37,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2450578,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,17min 34sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,2.04134623406647,65443,595
904.844796792001,1.84063388323002,82171,1186
910.021073788255,1.83903212222034,99678,1444
913.898249598708,1.90666662190703,110587,1371
917.771112320529,1.84677591175217,123185,1753
921.639661953718,1.87901596550428,139111,1838
925.503898498276,1.85250666684169,159569,2241
929.363821954203,1.94709259709237,183258,2070
933.219432321497,1.98289787686088,207371,2157
937.070729600159,1.96462363113382,229890,2494
942.199083389394,1.93014409875025,255937,3006
946.040316794582,2.0083421438079,272586,2674
949.877237111139,1.95184722132063,287311,3210
953.709844339064,1.9533941932256,300732,3348
957.538138478358,1.92610584739428,313797,3720
961.362119529019,2.02112682719831,326713,3112
965.181787491049,1.96411784905794,339646,3689
968.997142364448,1.96103684466479,353609,3868
974.077572946662,1.94311473385126,373087,4253
977.882863946587,1.95589989713505,388028,4295
981.683841857879,1.96291104545397,402790,4387
985.48050668054,1.99355235306177,417062,4233
989.272858414569,1.96359046195355,431192,4689
993.060897059966,1.98517715428305,444758,4602
996.844622616732,2.04427329636269,456216,4120
1000.62403508487,2.00387661159948,468463,4643
1005.65654246006,1.99583418116651,482450,4871
1009.42589105472,2.0235667236308,491458,4655
1013.19092656075,2.00256461770884,499843,4969
1016.95164897815,1.98683256936439,506896,5225
1020.70805830691,2.02743857988619,512583,4812
1024.46015454704,2.00465602147137,516710,5112
1028.20793769854,2.01104194401042,519030,5060
1031.95140776141,1.99558665408435,518900,5242
1036.93599192959,2.01403092941849,518793,5023
1040.66939811898,2.01969055951444,518378,4954
1044.39849121975,2.01132963139325,517629,5043
1048.12327123188,2.03181059132959,517016,4805
1051.84373815538,2.00234000943208,515671,5129
1055.55989199025,2.02809156144753,513781,4816
1059.27173273648,2.0321457747756,511708,4752
1064.21414448248,2.03111723761454,508349,4732
1067.91592135525,2.05830043570441,506188,4426
1071.61338513938,2.03905039510235,504263,4609
1075.30653583488,2.06278352724296,502196,4346
1078.99537344174,2.02866891230923,500791,4688
1082.67989795998,2.0107429898015,499607,4874
1086.36010938958,1.99855254442359,499034,5007
1090.03600773056,2.04136042228338,498043,4528
1094.93049626954,2.06967471047307,499075,4251
1098.59633073703,2.09653806563597,500696,4009
1102.2578521159,2.00829043540253,501788,4923
1105.91506040614,2.02687829679646,503305,4731
1109.56795560774,2.0662984126852,505112,4336
1113.21653772071,2.04151762431089,507576,4613
