***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,13.42,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3074,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/26T19:12:41,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.234183,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,15min 38sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.186372050700159,65443,42608
904.844796792001,0.19151747631484,82171,52869
910.021073788255,0.202462271848869,99678,62537
913.898249598708,0.205755979498784,110587,68857
917.771112320529,0.208602856506367,123185,76200
921.639661953718,0.20766783262112,139111,86237
925.503898498276,0.21011675744207,159569,98363
929.363821954203,0.20737123704821,183258,113682
933.219432321497,0.206896228845187,207371,128781
937.070729600159,0.203064104292275,229890,144031
942.199083389394,0.198591252984535,255937,162010
946.040316794582,0.194784607326859,272586,174068
949.877237111139,0.192209965969192,287311,184562
953.709844339064,0.188639740405487,300732,194778
957.538138478358,0.188105715491492,313797,203490
961.362119529019,0.187400570151906,326713,212210
965.181787491049,0.186870110653534,339646,220880
968.997142364448,0.187952615211881,353609,229388
974.077572946662,0.187849411877641,373087,242081
977.882863946587,0.189736449467177,388028,250684
981.683841857879,0.19028743967308,402790,259891
985.48050668054,0.192154964252698,417062,267945
989.272858414569,0.192531282437013,431192,276783
993.060897059966,0.194871189401792,444758,283957
996.844622616732,0.195931696203324,456216,290562
1000.62403508487,0.196367226959106,468463,298063
1005.65654246006,0.197914007787627,482450,305871
1009.42589105472,0.198234749148731,491458,311352
1013.19092656075,0.199772311545899,499843,315545
1016.95164897815,0.200174869434125,506896,319701
1020.70805830691,0.199963756601044,512583,323445
1024.46015454704,0.199524659179349,516710,326379
1028.20793769854,0.198346515522297,519030,328735
1031.95140776141,0.197161036879795,518900,329551
1036.93599192959,0.195257968269848,518793,330930
1040.66939811898,0.194227228126125,518378,331451
1044.39849121975,0.194022693547081,517629,331128
1048.12327123188,0.193082029138699,517016,331453
1051.84373815538,0.192073937592882,515671,331359
1055.55989199025,0.191694626344863,513781,330433
1059.27173273648,0.190834768455035,511708,329752
1064.21414448248,0.189676840602813,508349,328462
1067.91592135525,0.188877814966096,506188,327668
1071.61338513938,0.188102710028947,504263,327005
1075.30653583488,0.187337372007074,502196,326239
1078.99537344174,0.18663878998765,500791,325850
1082.67989795998,0.186267024886187,499607,325358
1086.36010938958,0.184710089814216,499034,326152
1090.03600773056,0.185220482609017,498043,325122
1094.93049626954,0.183842572688666,499075,326831
1098.59633073703,0.183705574481278,500696,327996
1102.2578521159,0.183912190438933,501788,328555
1105.91506040614,0.184487527124431,503305,329112
1109.56795560774,0.183605617245144,505112,330965
1113.21653772071,0.184382617397037,507576,331985
1116.86080674505,0.185335100646758,510261,333010
1120.50076268076,0.185851471497847,513048,334431
1125.34732801272,0.188198846733936,517118,335267
1128.97722007495,0.190762133915176,520581,335526
1132.60279904855,0.194994297984765,524427,334727
1136.22406493352,0.200649771651465,528466,332941
1139.84101772986,0.209375055149544,532886,329048
1143.45365743757,0.220383991383118,536838,323191
1147.06198405664,0.233347399813069,541119,316188
1150.66599758709,0.244299024054548,545478,310798
1155.46463971203,0.252694914573161,551844,308405
1159.058589369,0.258671195997717,557161,307121
1162.64822593734,0.266904654347494,562302,304134
1166.23354941704,0.28068077962331,568178,297717
1169.81455980812,0.295207846532058,574011,290879
1173.39125711056,0.309841817936626,580020,284185
1176.96364132437,0.327376705148845,586541,276008
1180.53171244955,0.351127195093784,592702,264064
1185.28243136747,0.389230328322083,603044,246104
1188.84043861918,0.412158454853425,610496,236333
1192.39413278225,0.421062679416466,618069,234409
1195.94351385669,0.418732574655784,626553,238905
1199.4885818425,0.410473567633559,634739,246673
1203.02933673968,0.404751405302669,642902,253159
1206.56577854822,0.404153838695762,651802,257017
1210.09790726814,0.404788016333958,661001,260264
1214.80070297904,0.397604725784387,673300,269528
1218.32276782548,0.38296712709036,682816,282707
1221.84051958329,0.360796783330725,693202,302039
1225.35395825247,0.337461560251597,703688,323533
1228.86308383301,0.314834068848786,714299,345976
1232.36789632493,0.295821279965552,724449,366595
1235.86839572821,0.279427500509109,735243,386370
1240.52901901693,0.263215952869309,749881,409050
1244.01945454674,0.25393559803742,760472,423787
1247.50557698792,0.246288620678973,769166,436246
1250.98738634046,0.239933290655022,778059,447795
1254.46488260438,0.235110711667803,786671,457807
1257.93806577966,0.230433197136955,795425,467914
1261.40693586631,0.226829716541952,803958,476874
1264.87149286432,0.223373555981837,812971,486073
1269.48419294603,0.219869836543595,824682,497069
1272.93868607057,0.217248942497554,834168,505830
1276.38886610648,0.215030853314328,843200,513925
1279.83473305376,0.21323336282153,852194,521561
1283.27628691241,0.211670504552845,860946,528817
1286.71352768243,0.210045828609763,868884,535693
1290.14645536381,0.209079287361162,877344,542114
1293.57506995657,0.208233857567496,885846,548434
1298.13984683125,0.207077961537065,896395,556444
1301.55839755053,0.206341826758531,903365,561722
1304.97263518118,0.206040746846676,910138,566326
1308.3825597232,0.205698910992709,917549,571387
1311.78817117658,0.205558381814408,924224,575730
1315.18946954133,0.206082078977813,929653,578414
1318.58645481745,0.206868018138168,934649,580471
1321.97912700494,0.207646581973159,939707,582567
1326.49598067261,0.209242237070916,945677,584118
1329.87858898662,0.211586948429115,950103,583692
1333.25688421201,0.21370199599331,953845,583144
1336.63086634876,0.215931936560057,957047,582105
1340.00053539688,0.219738808374371,959726,578640
1343.36589135636,0.224160275566268,961442,573803
1346.72693422722,0.23064419669322,962546,565949
1350.08366400944,0.240774799691105,963028,553177
1354.55259447009,0.261784645723158,961157,526029
1357.89926037884,0.281458509554745,960021,502137
1361.24161319896,0.299844164434252,959327,480975
1364.57965293045,0.313947507232833,958722,465313
1367.9133795733,0.32738374524179,958383,450978
1371.24279312752,0.343104668430373,958255,434887
1374.56789359312,0.358236580285357,957143,419508
1378.99465163159,0.379775208932301,953901,397858
1382.30968822371,0.395647388346117,950611,382257
1385.62041172719,0.409916980339142,946429,368274
1388.92682214204,0.424308215707916,942188,354674
1392.22891946827,0.439811657606802,937857,340663
1395.52670370586,0.449239322137162,933593,331832
1398.82017485482,0.44926996168942,929852,330479
1402.10933291514,0.44264338431813,927291,334636
1406.4881677466,0.439986267367895,924838,335799
1409.76726193345,0.446774994724591,922749,329844
1413.04204303167,0.45572210378642,921309,322614
1416.31251104126,0.461508632690552,919833,317834
1419.57866596222,0.464642553532183,918729,315170
1422.84050779454,0.466644694023871,917208,313201
1426.09803653824,0.471385822905862,915833,309336
1429.3512521933,0.477225127901321,915750,305177
1433.68216381773,0.483207908692673,915121,300795
1436.92531559932,0.485480895434115,913363,298650
1440.16415429228,0.486377119154787,912936,297895
1443.3986798966,0.486152569014153,911585,297608
1446.6288924123,0.48425562497906,910497,298554
1449.85479183936,0.482105108449146,908051,299230
1453.07637817779,0.48048884700409,905727,299577
1456.29365142759,0.478780966451788,903172,299909
1460.576639845,0.474923799532823,898347,300968
1463.78384922132,0.470662454813159,894476,302626
1466.98674550902,0.466545201752354,889693,303875
1470.18532870808,0.462558530652579,885619,305273
1473.37959881851,0.458053856632346,880836,306790
1476.5695558403,0.454546623909573,875537,307417
1479.75519977347,0.451654370126399,869901,307479
1482.936530618,0.449367023315007,864338,307126
1487.1715958284,0.446817451873384,856064,305977
1490.34286279946,0.44369437605696,849780,305923
1493.50981668188,0.439257662797377,843557,306801
1496.67245747568,0.43409231459912,836401,307838
1499.83078518084,0.429339143852154,829213,308551
1502.98479979738,0.424290949662695,821641,309308
1506.13450132528,0.419236553397673,814056,310040
1510.3273941135,0.412986744147325,803437,310431
1513.46703176792,0.409096737610428,794826,309867
1516.60235633372,0.405975665665227,785238,308337
1519.73336781088,0.402683176317739,777058,307447
1522.86006619941,0.398036117788565,768275,307242
1525.98245149931,0.395678313350585,758619,305032
1529.10052371058,0.392592167064239,748669,303178
1532.21428283322,0.39060609156729,738857,300576
1536.35925241442,0.388735106938076,725937,296595
1539.46294766358,0.387452766322308,715458,293178
1542.56232982411,0.387164238342018,704428,288850
1545.65739889601,0.385735639594351,693680,285380
1548.74815487928,0.385958362923741,682501,280637
1551.83459777391,0.385836866527502,671114,276032
1554.91672757992,0.385514485065196,659970,271650
1557.99454429729,0.385669836089701,647979,266619
1562.09159067147,0.385936634350518,631488,259674
1565.15934351537,0.386275473673363,619340,254480
1568.22278327063,0.386057011816462,606917,249501
1571.28190993727,0.387105455607012,594685,243883
1574.33672351527,0.387557215337603,582323,238565
1577.38722400464,0.388067887642188,569357,232979
1580.43341140538,0.389083397030259,556948,227369
1583.47528571749,0.38864257947549,544505,222515
1587.52440888465,0.388906710488805,527863,215583
1590.55621932328,0.389339737732059,515169,210189
1593.58371667328,0.389169284452761,502141,204954
1596.60690093465,0.389499292417583,490126,199898
1599.62577210739,0.389182126754995,477824,195023
1602.6403301915,0.388975301637084,465418,190050
1605.65057518697,0.387241597884687,452768,185624
1608.65650709382,0.3870285407678,439298,180190
1612.65770705396,0.388016402842492,420391,172043
1615.65357508733,0.388478874647681,406918,166352
1618.64513003206,0.391562293397613,394191,160009
1621.63237188817,0.39334898541688,381894,154381
1624.61530065564,0.397664969869782,369376,147844
1627.59391633449,0.398831772244137,357586,142741
1630.5682189247,0.402177357169474,345747,136956
1633.53820842628,0.405270641511568,334364,131507
1637.4914851794,0.403947057496607,319040,125863
1640.4514108075,0.403082192724615,307846,121689
1643.40702334698,0.403295114725842,296739,117241
1646.35832279782,0.401642967918285,284919,113000
1649.30530916003,0.397727797715889,273144,109311
1652.2479824336,0.397180857781442,260926,104553
1655.18634261855,0.393360386575252,248001,100252
1659.09744694949,0.390560380953959,228681,93040
1662.02574326097,0.383676927545575,212222,87723
1664.94972648381,0.380252504248722,193672,80689
1667.86939661802,0.375817094500586,173346,72962
1670.78475366359,0.367227090170006,152416,65434
1673.69579762054,0.368210697538889,131239,56215
1676.60252848885,0.375721304189105,111046,46750
1679.50494626853,0.399894755680277,93078,37064
1683.36812739246,0.488982291287133,72973,23669
1686.26048129867,0.583606316884271,60866,15877
1689.14852211624,0.730495769100331,50915,9470
1692.03224984519,0.833944233261392,42552,6237
1694.9116644855,0.988509679401643,35956,3692
1697.78676603718,1.01693287627316,30257,2910
1700.65755450023,1.21245904906729,25607,1570
