***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.23,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,24.87,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3072,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/28T00:27:30,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.249832,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,16min 55sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,1.84644728744104,65443,932
904.844796792001,1.87214305981808,82171,1103
910.021073788255,1.9055280090779,99678,1239
913.898249598708,1.89325466723566,110587,1414
917.771112320529,1.85100810700549,123185,1736
921.639661953718,1.94690893085098,139111,1572
925.503898498276,1.95350556193417,159569,1776
929.363821954203,1.95965087195254,183258,2011
933.219432321497,1.92177130240886,207371,2483
937.070729600159,1.97395230085916,229890,2441
942.199083389394,1.97789672158963,255937,2693
946.040316794582,1.94120977806853,272586,3121
949.877237111139,1.99326696616806,287311,2918
953.709844339064,2.02242143944268,300732,2856
957.538138478358,1.95996411465525,313797,3441
961.362119529019,1.94292356495574,326713,3726
965.181787491049,1.94466428097688,339646,3858
968.997142364448,1.97588401303294,353609,3738
974.077572946662,1.96747604346237,373087,4021
977.882863946587,1.96078080431163,388028,4247
981.683841857879,1.93856069930403,402790,4640
985.48050668054,2.01338947461682,417062,4044
989.272858414569,1.97172408035977,431192,4602
993.060897059966,1.96202399661976,444758,4854
996.844622616732,1.97549321357713,456216,4827
1000.62403508487,1.99006786627387,468463,4793
1005.65654246006,1.99069349258356,482450,4929
1009.42589105472,1.95772757336095,491458,5417
1013.19092656075,1.96724484926763,499843,5390
1016.95164897815,2.00594885981147,506896,5000
1020.70805830691,1.99736706714728,512583,5157
1024.46015454704,1.98021018368813,516710,5408
1028.20793769854,2.00086270110499,519030,5180
1031.95140776141,2.00649282554458,518900,5112
1036.93599192959,1.99649241871076,518793,5230
1040.66939811898,2.00665081534133,518378,5105
1044.39849121975,1.99768131166284,517629,5204
1048.12327123188,1.99892277449462,517016,5183
1051.84373815538,2.02297504567655,515671,4891
1055.55989199025,1.98274908527678,513781,5346
1059.27173273648,2.01380328784359,511708,4957
1064.21414448248,2.00106836302256,508349,5071
1067.91592135525,1.99589094516094,506188,5110
1071.61338513938,2.00333980220549,504263,5004
1075.30653583488,1.98629204038794,502196,5183
1078.99537344174,1.99473422409587,500791,5069
1082.67989795998,1.9977518062733,499607,5022
1086.36010938958,2.03273678554279,499034,4628
1090.03600773056,2.06319281497613,498043,4306
1094.93049626954,2.01421868468868,499075,4830
1098.59633073703,2.0054078259533,500696,4945
1102.2578521159,2.01864614904664,501788,4807
1105.91506040614,1.98733383619522,503305,5182
1109.56795560774,1.98190683144548,505112,5266
1113.21653772071,2.03460612539895,507576,4687
1116.86080674505,2.03661953311851,510261,4690
1120.50076268076,2.01625525788578,513048,4942
1125.34732801272,2.055005939682,517118,4556
1128.97722007495,2.05962382177148,520581,4538
1132.60279904855,2.04906815674196,524427,4684
1136.22406493352,2.05846908902343,528466,4619
1139.84101772986,2.0430469930179,532886,4826
1143.45365743757,2.06604812750153,536838,4611
1147.06198405664,2.06017967909425,541119,4711
1150.66599758709,2.05283010873513,545478,4830
1155.46463971203,2.03612362844812,551844,5078
1159.058589369,2.07880803671316,557161,4647
1162.64822593734,2.13056321732727,562302,4163
1166.23354941704,2.06561984566233,568178,4885
1169.81455980812,2.07659459636697,574011,4812
1173.39125711056,2.0409735830925,580020,5278
1176.96364132437,2.06828731295537,586541,5012
1180.53171244955,2.09907845616523,592702,4718
1185.28243136747,2.14126112971323,603044,4356
1188.84043861918,2.14559909139817,610496,4366
1192.39413278225,2.15898479486601,618069,4286
1195.94351385669,2.13656671536982,626553,4575
1199.4885818425,2.10895615714444,634739,4939
1203.02933673968,2.17276157276021,642902,4319
1206.56577854822,2.1392545479897,651802,4730
1210.09790726814,2.1167387746283,661001,5052
1214.80070297904,2.13642009006525,673300,4918
1218.32276782548,2.14820391711681,682816,4854
1221.84051958329,2.13328963095564,693202,5100
1225.35395825247,2.12565194648869,703688,5269
1228.86308383301,2.13141065623997,714299,5278
1232.36789632493,2.09523410036588,724449,5818
1235.86839572821,2.11816532575913,735243,5601
1240.52901901693,2.12626179376813,749881,5607
1244.01945454674,2.13134691272218,760472,5620
1247.50557698792,2.12552220333168,769166,5761
1250.98738634046,2.12788415387037,778059,5796
1254.46488260438,2.11124716648944,786671,6089
1257.93806577966,2.11891565211926,795425,6049
1261.40693586631,2.1153707310843,803958,6164
1264.87149286432,2.12567175212568,812971,6087
